DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
43295453,Chance Gray,G/UTIL,LAS,GSV,,3500,0,4.2,,4.2,1.2000000000000002,0.66,0.3575309001391116,0,100,89.1013,177.2946,4.20404,1.5,3.5,6.25,7.75,10.75,14.75,3.93987,1.2,3.2,6,7.5,10.4,13.9,3.93987,1.2,3.2,6,7.5,10.4,13.9,4.10973,1.5,3.5,6.2,7.6,10.4,14.2,3.47583,3.42985,3.42985,3.37003,1.89771,7.22772,0.308286,0.375,1.12186,0.145571,0.976286,0.358714,0.0994286,0.0995714,0.439143
43295465,Liatu King,F/UTIL,MIN,POR,,3100,0,4.13,,4.13,1.332258064516129,0.97,0.569322519643903,0,100,93.4953,175.0024,4.12668,1.5,3.5,6,7.75,10.75,15,4.09249,1.2,3.2,6.2,7.7,11,15.2,4.09249,1.2,3.2,6.2,7.7,11,15.2,4.18749,1.5,3.5,6.2,7.7,11,14.9,3.50781,3.66149,3.66149,3.54989,2.22686,7.42071,0.563857,0.179857,0.823857,0.110571,0.713286,0.252286,0.225571,0.0791429,0.415571
43295475,Brianna Turner,F/UTIL,LAV,DAL,,3000,0,3.85,,3.85,1.2833333333333334,1.11,0.6840176078560202,0,100,92.8334,183.8408,3.85296,1.5,3.25,5.5,7,9.75,13,3.91844,1.2,3.2,5.8,7.4,10.2,13.8,3.91844,1.2,3.2,5.8,7.4,10.2,13.8,4.01651,1.5,3.5,5.8,7.4,10.1,13.6,3.03956,3.35357,3.35357,3.23448,1.05043,6.94107,0.434857,0.009,1.46614,0.464429,1.00171,0.314714,0.217286,0.132714,0.413429
43295477,Juste Jocyte,F/UTIL,GSV,LAS,,3000,0,3.29,,3.29,1.0966666666666667,0.96,0.5706864047367521,0,100,88.1933,177.2946,3.29221,1.25,2.75,4.75,6,8.5,12.25,3.26633,1.2,3,5,6.2,9,12.5,3.26633,1.2,3,5,6.2,9,12.5,3.35419,1.2,3,5,6.2,8.9,12.2,2.82932,2.9827,2.9827,2.88507,1.45529,4.50906,0.355,0.161143,0.534857,0.0814286,0.453429,0.506714,0.154,0.0922857,0.329714
43295503,Jihyun Park,F/UTIL,LAS,GSV,,3000,0,3.12,,3.12,1.04,0.96,0.5706864047367521,0,100,89.1013,177.2946,3.11764,1.25,2.75,4.75,6,8.25,11,3.08099,1.2,2.7,4.5,6,8.4,11.6,3.08099,1.2,2.7,4.5,6,8.4,11.6,3.14827,1.2,2.7,4.6,6,8.4,11.4,2.6576,2.78609,2.78609,2.69454,1.23057,4.37935,0.262,0.145286,0.681714,0.120714,0.561,0.461857,0.124143,0.0752857,0.258714
43295467,Kate Martin,G/UTIL,LAS,GSV,,3000,0,2.58,,2.58,0.86,0.51,0.2324995203411805,0,100,89.1013,177.2946,2.58229,0,2,4,5.5,7.75,10.75,2.41453,0,2,4,5.2,7.4,10.4,2.41453,0,2,4,5.2,7.4,10.4,2.47989,0,2,3.9,5.2,7.4,10.2,2.64641,2.60078,2.60078,2.51944,1.22643,4.58771,0.128429,0.294571,0.682286,0.0767143,0.605571,0.140714,0.104,0.027,0.234714
43295499,Janiah Barker,F/UTIL,LAV,DAL,,3000,0,0,,0,0,0,0,0,100,92.8334,183.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295489,Miela Sowah,G/UTIL,GSV,LAS,,3000,0,0,,0,0,0,0,0,100,88.1933,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295485,Laeticia Amihere,F/UTIL,GSV,LAS,,3000,0,0,,0,0,0,0,0,100,88.1933,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295513,Jordan Harrison,G/UTIL,POR,MIN,O,3000,0,0,,0,0,0,0,0,100,81.5071,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295495,Eliska Hamzova,G/UTIL,MIN,POR,,3000,0,0,,0,0,0,0,0,100,93.4953,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295483,JJ Quinerly,G/UTIL,DAL,LAV,,3000,0,0,,0,0,0,0,0,100,91.0074,183.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295367,Napheesa Collier,F/UTIL,MIN,POR,O,10400,0,0,,0,0,0,0,0,100,93.4953,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295509,Laura Ziegler,F/UTIL,LAS,GSV,,3000,0,0,,0,0,0,0,0,100,89.1013,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295501,Sania Feagin,F/UTIL,LAS,GSV,,3000,0,0,,0,0,0,0,0,100,89.1013,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295497,Emma Cechova,F/UTIL,MIN,POR,,3000,0,0,,0,0,0,0,0,100,93.4953,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295427,Dorka Juhasz,F/UTIL,MIN,POR,O,5100,0,0,,0,0,0,0,0,100,93.4953,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295409,Chennedy Carter,G/UTIL,LAV,DAL,O,6500,0,0,,0,0,0,0,0,100,92.8334,183.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295473,Nadia Fingall,F/UTIL,GSV,LAS,,3000,0,0,,0,0,0,0,0,100,88.1933,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295479,Li Yueru,F/UTIL,DAL,LAV,,3000,0,0,,0,0,0,0,0,100,91.0074,183.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295443,Odyssey Sims,G/UTIL,DAL,LAV,O,4000,0,0,,0,0,0,0,0,100,91.0074,183.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295493,Emese Hof,F/UTIL,MIN,POR,,3000,0,0,,0,0,0,0,0,100,93.4953,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295441,Dana Evans,G/UTIL,LAV,DAL,O,4200,0,0,,0,0,0,0,0,100,92.8334,183.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295511,Holly Winterburn,G/UTIL,POR,MIN,,3000,0,0,,0,0,0,0,0,100,81.5071,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295449,Karlie Samuelson,G/UTIL,POR,MIN,O,3600,0,0,,0,0,4.43,4.012257901884102,0,100,81.5071,175.0024,9.15839,5.5,8.5,12.25,14.25,18.25,23.25,8.96099,5.2,8.5,12.1,14.2,18.2,23.101,8.96099,5.2,8.5,12.1,14.2,18.2,23.101,9.09627,5.5,8.6,12.1,14.2,18.1,22.701,5.03536,5.13955,5.13955,4.95548,3.74143,14.4985,0.242429,0.864286,1.61957,0.215429,1.40414,1.28157,0.542571,0.179714,0.813143
43295463,Serah Williams,F/UTIL,POR,MIN,,3100,0,0,,0,0,0,0,0,100,81.5071,175.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295487,Iliana Rupert,F/UTIL,GSV,LAS,O,3000,0,0,,0,0,0,0,0,100,88.1933,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295491,Ashten Prechtel,F/UTIL,GSV,LAS,,3000,0,0,,0,0,0,0,0,100,88.1933,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295507,Ta'Niya Latson,G/UTIL,LAS,GSV,,3000,0,0,,0,0,0,0,0,100,89.1013,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295481,Costanza Verona,G/UTIL,DAL,LAV,,3000,0,0,,0,0,0,0,0,100,91.0074,183.8408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43295505,Emma Cannon,F/UTIL,LAS,GSV,,3000,0,0,,0,0,0,0,0,100,89.1013,177.2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
