DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
43292290,Noelvi Marte,OF,6,CIN,NYM,Confirmed,2500,0,7.38,,7.38,2.952,5.31,5.197430808257152,0,100,4.6634,8.966000000000001,7.38024,2,5,11,15,21,29.01,9.59164,3,6.5,15.2,18.9,28.2,40.101,7.19401,2.6,5.2,10.9,14.2,21,29.3,7.7148,1.5,5.5,11.5,16.5,24.5,34,7.09698,9.49665,6.95303,8.38078,0.60228,0.17268,0.03036,0.1188,0.14072,0.02116,0.4814,0.492,0.8724,0.31436,3.9878,0.9241200000000002,0,0,0,0,0,0,0
43292158,Jose Altuve,2B,5,HOU,DET,Confirmed,4000,0,7.37,,7.37,1.8425,4.44,4.26006072331078,0,100,4.6314,9.278400000000001,7.36772,2,5,11,15,21,29.01,9.65305,3,6.2,13.2,18.9,28.4,40.4,7.23217,2.6,5.2,10.4,14.2,20.6,29.3,7.86802,2,5.5,11.5,17,24.5,34,6.97875,9.42181,6.8714,8.33415,0.63408,0.17428,0.0088,0.12548,0.1004,0.01644,0.47744,0.54392,0.72164,0.36208,4.1268,0.94264,0,0,0,0,0,0,0
43292201,Moises Ballesteros,C,7,CHC,COL,Confirmed,3400,0,7.36,,7.36,2.1647058823529415,9.36,10.565387034974071,0,100,5.7586,9.8432,7.35812,2,5,11,15,21,30,9.73313,3,6.2,15.2,19.4,28.7,40.9,7.2554,2.6,5.2,10.6,14.9,21.3,29.604,8.0349,2,5.5,11.625,17,26,36,7.17861,9.74503,7.09516,8.68591,0.56324,0.15856,0.03588,0.13848,0.06312,0.00696,0.51984,0.58488,0.61884,0.33936,3.60176,0.8961600000000001,0,0,0,0,0,0,0
43292153,Bo Bichette,SS,2,NYM,CIN,Confirmed,4100,0,7.3,,7.3,1.7804878048780488,4.69,4.486069471442774,0,100,4.3026,8.966000000000001,7.30216,2,5,11,14,21,29.01,9.40908,3,6.2,13,18.7,28.2,40.103,7.0919,2.6,5.2,10.4,14.2,20.6,28.9,7.67992,2,5.5,11.5,16.5,24.5,35,6.88979,9.21683,6.77499,8.17978,0.73164,0.19748,0.02356,0.1074,0.06376,0.01016,0.55392,0.45452,0.87736,0.26084,4.57764,1.06008,0,0,0,0,0,0,0
43292196,Ryan Ward,OF,7,LAD,TB,Confirmed,3400,0,7.3,,7.3,2.1470588235294117,2,1.560439677142382,0,100,5.3588,9.7982,7.30428,2,5,11,15,21,30,9.5757,3,6.2,15.2,19.2,28.7,40.9,7.17121,2.6,5.2,10.9,14.2,21.3,30,7.9037,1.5,5,12,17,25.5,36.005,7.24215,9.78193,7.15212,8.72638,0.58176,0.16876,0.0346,0.13944,0.072,0.01188,0.48888,0.5548,0.70748,0.29832,3.8948,0.92456,0,0,0,0,0,0,0
43292232,Joc Pederson,OF,1,TEX,MIN,Confirmed,3000,0,7.29,,7.29,2.4299999999999997,5.79,5.782299850586259,0,100,4.5866,8.624600000000001,7.29133,2,5,11,15,21,30,9.66465,3,6.2,15.2,19.2,28.4,40.9,7.33165,2.6,5.2,10.9,14.9,21.3,30.3,7.75597,1.5,5,11.5,17,25,35.5,7.17706,9.68279,7.16456,8.59967,0.495067,0.170267,0.0258,0.149467,0.0538667,0.0086,0.565267,0.4384,0.8126,0.488533,4.07947,0.840601,0,0,0,0,0,0,0
43292194,Nolan Arenado,3B,6,ARI,LAA,Confirmed,3400,0,7.26,,7.26,2.135294117647059,2.42,1.9484463334888067,0,100,4.9164,9.5328,7.2644,2,5,10,14,21,30,9.57169,3,6.5,13,18.7,28.2,40.403,7.21047,2.6,5.2,9.875,14.2,20.6,28.9,7.79068,2,5.5,11,16.5,24.5,34.505,6.82737,9.19958,6.73256,8.18647,0.58064,0.17164,0.0616,0.0952,0.05932,0.01028,0.48364,0.53232,0.72016,0.44548,4.0714,0.9090800000000001,0,0,0,0,0,0,0
43292141,Manny Machado,3B,3,SD,STL,Confirmed,4400,0,7.22,,7.22,1.6409090909090909,1.47,1.0555631890688877,0,100,4.2284,8.9658,7.22336,2,5,11,14,21,30,9.40033,3,6.2,13,18.7,28.4,40.603,7.05738,2.6,5.2,9.7,14.2,21.3,29.6,7.69482,1.5,5.5,11,16.5,25,35,7.10824,9.55581,6.9917,8.45243,0.67228,0.1796,0.01064,0.12092,0.07956,0.01228,0.47744,0.52328,0.78412,0.30748,4.473,0.98344,0,0,0,0,0,0,0
43292208,Jake Burger,1B,5,TEX,MIN,Confirmed,3300,0,7.2,,7.2,2.181818181818182,4.49,4.117761709171602,0,100,4.5866,8.624600000000001,7.20247,2,5,10,15,21,31.01,9.51797,3,6.2,13,19.2,28.7,43.103,7.12344,2.6,5.2,9.7,14.2,21.3,31.5,7.73433,1.5,5,11,17,25.5,37,7.2698,9.87041,7.20289,8.83352,0.556267,0.169,0.0248,0.140933,0.0549333,0.00733333,0.488533,0.568133,0.899333,0.346467,4.1312,0.891,0,0,0,0,0,0,0
43292191,Nolan Schanuel,1B,5,LAA,ARI,Confirmed,3500,0,7.19,,7.19,2.0542857142857143,2.86,2.3671954138021265,0,100,4.6164,9.5328,7.18708,2,5,10,14,20,27,9.26526,3,6.5,12.7,18.4,25.7,35.2,7.01954,2.6,5.2,9.7,13.5,19.4,26.302,7.72378,2,6,11,15,23,31.505,6.40746,8.50341,6.26042,7.52837,0.70368,0.2336,0.06712,0.05072,0.05884,0.0106,0.47192,0.47592,0.54388,0.337,4.29532,1.05512,0,0,0,0,0,0,0
43292300,Esmerlyn Valdez,OF,9,PIT,ATH,Confirmed,2400,0,7.16,,7.16,2.9833333333333334,5.63,5.586538745541188,0,100,5.2594,10.499600000000001,7.16464,2,5,10,14,21,30,9.51301,3,6.2,13,18.7,28.7,40.9,7.12684,2.6,5.2,9.825,14.2,21.3,29.604,7.54486,1.5,5,11,16.5,25,36,7.09137,9.60327,7.01035,8.4873,0.53096,0.16056,0.0302,0.11464,0.08264,0,0.51196,0.51884,0.95204,0.45308,3.98612,0.83636,0,0,0,0,0,0,0
