rank,Name,dfs_id,dk_salary,proj,adj_proj,p50,p75,p95,own,archetype,FRAGILITY,sensitivity_pct,sensitivity_label,mc_prob,win_pct,ceiling_delta,value,CEIL,VAL,LEV,SAFE,wave,sg_ott,sg_app,sg_arg,sg_putt,has_sg,DFS_SCORE_3MAX
1,Beau Hossler,42464098,6800,51.79,51.686,57.0,70.5,91.0,5.09,Leverage Pivot,38.5692,100.0,CORE LOCK,0.614308,0.005,39.21,7.616176470588235,84.1618497109827,100.0,100.0,71.55378258809428,PM,,,,,False,89.39780727260721
2,Christiaan Bezuidenhout,42464072,7300,54.78,54.766,60.0,73.5,95.5,11.37,Leverage Pivot,35.13849999999999,100.0,CORE LOCK,0.648615,0.01,40.72,7.5041095890410965,88.32369942196536,100.0,85.66350710900478,77.94865610168277,AM,,,,,False,89.15447960583951
3,Austin Smotherman,42464085,7000,51.72,53.723,56.5,70.5,91.5,5.87,Leverage Pivot,39.153800000000004,100.0,CORE LOCK,0.608462,0.006999999999999999,39.78,7.388571428571429,84.62427745664743,98.835756691599,100.0,70.46407988717498,AM,,,,,False,89.12826213863497
4,Vince Whaley,42464103,6700,50.08,52.32299999999999,55.0,68.5,89.0,4.17,Leverage Pivot,40.7538,100.0,CORE LOCK,0.592462,0.005,38.92,7.474626865671642,82.31213872832373,99.9869067245182,97.51184834123227,67.48165716827168,AM,,,,,False,87.54620041594625
5,Chris Kirk,42464076,7200,53.04,52.596,58.0,71.5,92.0,5.24,Leverage Pivot,36.9846,100.0,CORE LOCK,0.630154,0.006,38.96,7.366666666666666,85.08670520231217,98.54274014043803,85.66350710900478,74.50749948832814,PM,,,,,False,86.97919346108456
6,Tony Finau,42464069,7400,56.92,56.568,62.0,75.0,97.5,10.71,Leverage Pivot,19.403100000000002,100.0,CORE LOCK,0.676615,0.013999999999999999,40.58,7.691891891891892,90.1734104046243,100.0,64.33649289099529,83.16789585976353,AM,-0.574,0.129,0.312,0.0,True,86.41184711901332
7,Adrien Dumont De Chassart,42464082,7100,49.63,51.972,54.5,68.5,88.5,3.93,Punt/Fragile Value,42.1385,100.0,CORE LOCK,0.578615,0.006,38.87,6.990140845070424,81.84971098265899,93.5060135078059,100.0,64.9005567064808,AM,,,,,False,85.8514712759872
8,Rickie Fowler,42464045,8800,64.58,58.75699999999999,68.5,82.5,106.5,21.61,Stable Core,24.615399999999998,100.0,CORE LOCK,0.753846,0.027999999999999997,41.92,7.338636363636363,98.49710982658964,98.16778319008877,35.9004739336493,97.56386392248987,AM,,,,,False,85.75546410326139
9,Matt Wallace,42464074,7300,53.65,53.54,59.0,72.0,94.5,6.35,Leverage Pivot,36.8615,100.0,CORE LOCK,0.631385,0.009000000000000001,40.85,7.3493150684931505,87.39884393063588,98.31063054362798,73.81516587677727,74.73695963626376,PM,,,,,False,85.51077232895638
10,J.T. Poston,42464067,7400,53.15,55.033,58.5,72.0,93.5,5.92,Punt/Fragile Value,37.153800000000004,100.0,CORE LOCK,0.628462,0.008,40.35,7.182432432432432,86.4739884393064,96.07826779621405,78.55450236966828,74.19210828580411,AM,,,,,False,85.44887904158034
11,Seonghyeon Kim,42464094,6900,51.71,53.694,56.5,70.5,91.0,4.61,Leverage Pivot,38.769200000000005,100.0,CORE LOCK,0.612308,0.006,39.29,7.494202898550724,84.1618497109827,100.0,78.55450236966828,71.18097974823135,AM,,,,,False,85.05278732056144
12,Denny McCarthy,42464051,8200,61.14,57.866,65.5,78.0,104.0,14.52,Stable Core,27.0,100.0,CORE LOCK,0.73,0.021,42.86,7.456097560975611,96.18497109826593,99.73904313298283,35.9004739336493,93.11893566280435,PM,,,,,False,84.5566843587026
13,Mac Meissner,42464073,7300,53.81,55.741,59.0,72.5,95.0,6.64,Leverage Pivot,36.4154,100.0,CORE LOCK,0.635846,0.006999999999999999,41.19,7.371232876712329,87.86127167630062,98.6038216132828,66.70616113744079,75.568496370578,AM,,,,,False,84.47197075691581
