Name,dfs_id,dk_salary,proj,p95,own,mc_prob,value,wave,CEIL,VAL,LEV,SAFE,DFS_SCORE_SE,kill_SE,kill_reason_SE,DFS_SCORE_3MAX,kill_3MAX,kill_reason_3MAX,DFS_SCORE_20MAX,kill_20MAX,kill_reason_20MAX,DFS_SCORE_150MAX,kill_150MAX,kill_reason_150MAX
Takumi Kanaya,42464124,6400,44.2,81.5,1.21,0.502923,6.90625,PM,75.37572254335262,92.38381888166066,47.7488151658768,50.79146042902899,70.01431995089402,True,mc_risk,70.41472583528592,True,mc_risk,69.56736096609887,True,mc_risk,69.41218875521292,True,mc_risk
David Ford,42464109,6700,43.9,81.0,1.42,0.493846,6.552238805970149,AM,74.9132947976879,87.64826687712359,100.0,49.09949474031116,77.19901769046453,True,mc_risk,79.24230884940273,True,mc_risk,80.12913684423656,True,mc_risk,81.15058550841539,True,mc_risk
Jackson Suber,42474778,6200,43.5,81.0,1.09,0.487538,7.016129032258064,PM,74.9132947976879,93.85365339605288,50.11848341232229,47.92367458338354,70.03534246890612,True,mc_risk,70.64097913806037,True,mc_risk,69.86871644283454,True,mc_risk,69.80370164958904,True,mc_risk
Brandt Snedeker,42464128,6400,43.04,79.52,0.95,0.483385,6.725,PM,73.54450867052026,89.9592661689293,47.7488151658768,47.14954948640819,67.98393831251072,True,mc_risk,68.52981546657702,True,mc_risk,67.79140112016769,True,mc_risk,67.73904087563,True,mc_risk
Adam Svensson,42464131,6300,42.91,80.5,0.94,0.475538,6.811111111111111,AM,74.45086705202316,91.11116094432657,38.2701421800948,45.686857544206056,66.71241539530777,True,mc_risk,67.06519412454078,True,mc_risk,66.05524375177016,True,mc_risk,65.86134366172004,True,mc_risk
Lanto Griffin,42474774,6300,42.41,78.5,0.97,0.472769,6.731746031746032,AM,72.6011560693642,90.04950677345352,76.18483412322277,45.17071201241585,72.08638020315281,True,mc_risk,73.565412747616,True,mc_risk,73.69808144924802,True,mc_risk,74.24370131795186,True,mc_risk
Mark Hubbard,42464129,6400,42.39,79.5,0.76,0.472,6.6234375,PM,73.52601156069368,88.60068059714017,24.052132701421808,45.02736932048855,63.18439096568805,True,mc_risk,63.12510671192016,True,mc_risk,61.758623119852714,True,mc_risk,61.322611429144494,True,mc_risk
Jimmy Stanger,42464123,6500,42.04,79.0,0.77,0.468154,6.467692307692308,PM,73.06358381502893,86.51730168125337,35.9004739336493,44.31046945943218,64.35866173063116,True,mc_risk,64.68142415196961,True,mc_risk,63.73798160665341,True,mc_risk,63.588238482369235,True,mc_risk
Patrick Fishburn,42464125,6400,41.62,78.0,0.65,0.459231,6.503124999999999,PM,72.13872832369945,86.99127922748227,28.791469194312807,42.64720958938379,62.58452825078629,True,mc_risk,62.75868641362048,True,mc_risk,61.6025224873117,True,mc_risk,61.323271848677784,True,mc_risk
John VanDerLaan,42464136,6300,41.48,78.52,0.77,0.456923,6.584126984126984,PM,72.61965317919078,88.0748300156296,40.6398104265403,42.21699511218199,64.96634250694814,True,mc_risk,65.52708012771907,True,mc_risk,64.71208270138656,True,mc_risk,64.67546205161504,True,mc_risk
Zachary Bauchou,42464127,6400,41.22,78.0,0.96,0.452923,6.440625,AM,72.13872832369945,86.15522656791974,83.29383886255928,41.471389432456164,71.40575389811204,True,mc_risk,73.27377415884001,True,mc_risk,73.80127930550404,True,mc_risk,74.66407171813414,True,mc_risk
Luke Clanton,42464139,6200,41.21,78.0,0.64,0.454923,6.646774193548387,AM,72.13872832369945,88.91285187244456,21.682464454976312,41.84419227231908,61.69578714292672,True,mc_risk,61.69682602943405,True,mc_risk,60.28580512793761,True,mc_risk,59.85003346112965,True,mc_risk
Patton Kizzire,42464151,6100,40.69,78.0,0.65,0.444769,6.670491803278688,PM,72.13872832369945,89.23011860354033,28.791469194312807,39.951472254335066,62.605090627791064,True,mc_risk,62.91403565737769,True,mc_risk,61.74462129648815,True,mc_risk,61.50146599038453,True,mc_risk
Joe Highsmith,42464138,6300,40.55,77.0,0.45,0.441692,6.436507936507936,AM,71.21387283236997,86.10015325780569,0.0,39.37791508520597,56.46189300779321,True,mc_risk,55.91727471018031,True,mc_risk,53.97098926738941,True,mc_risk,53.20406493464822,True,mc_risk
Danny Walker,42464137,6300,40.38,77.0,0.5,0.441385,6.40952380952381,PM,71.21387283236997,85.73919083970887,7.46445497630332,39.32068984928702,57.62916470205677,True,mc_risk,57.31134131552892,True,mc_risk,55.600962899288405,True,mc_risk,54.9922636715128,True,mc_risk
Pontus Nyholm,42464133,6300,39.76,77.5,0.83,0.428769,6.311111111111111,PM,71.67630057803471,84.42273966782625,80.92417061611378,36.969049535431765,69.49359804843544,True,mc_risk,71.50639670170797,True,mc_risk,72.09558465100866,True,mc_risk,73.06683080125251,True,mc_risk
Charley Hoffman,42464143,6200,39.59,76.0,0.73,0.423538,6.385483870967742,AM,70.28901734104049,85.41761236666053,76.18483412322277,35.99398370777032,68.21444822376246,True,mc_risk,70.10607440889143,True,mc_risk,70.5149917342537,True,mc_risk,71.35918717838305,True,mc_risk
