Name,DFS ID,Salary,Projection,Ownership
Chris Kirk,42464076,7200,46.03,5.24
J.T. Poston,42464067,7400,50.422000000000004,5.92
Tony Finau,42464069,7400,50.805,10.71
Matt Wallace,42464074,7300,46.8575,6.35
Seonghyeon Kim,42464094,6900,49.292500000000004,4.61
Mac Meissner,42464073,7300,51.028,6.64
Rickie Fowler,42464045,8800,50.0575,21.61
Alex Smalley,42464063,7600,47.9385,6.89
Denny McCarthy,42464051,8200,49.300000000000004,14.52
Billy Horschel,42464101,6800,45.657500000000006,5.07
Max McGreevy,42464070,7400,49.759499999999996,4.75
Will Zalatoris,42464061,7600,51.5025,5.93
J.J. Spaun,42464047,8600,49.764,11.94
Stephan Jaeger,42464068,7400,48.811,9.3
Mackenzie Hughes,42464084,7100,45.11,4.16
Ryo Hisatsune,42464050,8300,52.878,11.52
Maverick McNealy,42464043,9000,50.854,20.44
Andrew Novak,42464075,7300,51.352999999999994,5.34
Jordan L. Smith,42464059,7700,48.279,6.74
Lee Hodges,42464093,6900,45.032,3.96
Zecheng Dou,42464083,7100,43.68050000000001,3.13
Keith Mitchell,42464048,8500,49.411,15.15
Patrick Rodgers,42464066,7500,50.252500000000005,4.61
Sepp Straka,42464041,9200,51.823,14.95
Nick Taylor,42464054,8000,49.70099999999999,7.94
Michael Thorbjornsen,42464044,8900,55.323,12.65
Hideki Matsuyama,42464040,9300,50.776,25.36
Joel Dahmen,42474773,6600,46.55350000000001,2.15
Kristoffer Reitan,42464081,7100,43.763999999999996,3.08
Max Homa,42464086,7000,50.396,4.76
Marco Penge,42464058,7800,52.727,8.98
Steven Fisk,42464106,6700,43.8065,2.61
Sudarshan Yellamaraju,42464052,8100,53.579,9.18
Eric Cole,42464091,6900,44.9895,4.19
John Parry,42464079,7200,43.9365,2.89
Jordan Spieth,42464038,9500,46.801,28.06
Michael Kim,42464092,6900,48.343,2.74
Taylor Moore,42474776,6900,48.428000000000004,3.16
Si Woo Kim,42464037,9600,56.193000000000005,19.31
Bronson Burgoon,42464115,6600,46.982,2.28
John Keefer,42464053,8000,50.4265,7.45
Alex Noren,42464046,8700,54.102,10.64
Russell Henley,42464036,9800,49.525000000000006,22.3
Emiliano Grillo,42464108,6700,46.536500000000004,1.81
Ludvig Aberg,42464034,10100,49.7395,23.61
Robert MacIntyre,42464035,9900,52.893,19.89
Tommy Fleetwood,42464033,10500,54.883,22.1
Kevin Roy,42464096,6900,42.317,1.74
William Mouw,42464087,7000,48.536,3.52
Thorbjorn Olesen,42464057,7800,53.2525,8.65
Austin Eckroat,42464097,6800,46.9935,1.87
Jhonattan Vegas,42464113,6600,43.57300000000001,1.98
Brian Harman,42464056,7900,48.729000000000006,5.9
Matthew McCarty,42464071,7400,45.62,3.84
Doug Ghim,42464088,7000,47.797,2.38
Rico Hoey,42464065,7500,50.6245,4.37
Chad Ramey,42464089,7000,44.723499999999994,2.83
Kevin Yu,42464104,6700,43.136,1.72
Davis Thompson,42464064,7500,51.679,4.66
Tom Kim,42464078,7200,47.317499999999995,4.23
Matt Kuchar,42464099,6800,48.507000000000005,2.3
Seamus Power,42464095,6900,48.1355,2.63
Hao-Tong Li,42464080,7100,45.9195,3.71
Bud Cauley,42464077,7200,49.4775,3.87
Karl Vilips,42464120,6500,42.024,1.36
