Name,DFS ID,Salary,Projection,Ownership
Beau Hossler,42464098,6800,51.686,5.09
Christiaan Bezuidenhout,42464072,7300,54.766,11.37
Austin Smotherman,42464085,7000,53.723,5.87
Vince Whaley,42464103,6700,52.32299999999999,4.17
Chris Kirk,42464076,7200,52.596,5.24
Tony Finau,42464069,7400,56.568,10.71
Adrien Dumont De Chassart,42464082,7100,51.972,3.93
Rickie Fowler,42464045,8800,58.75699999999999,21.61
Matt Wallace,42464074,7300,53.54,6.35
J.T. Poston,42464067,7400,55.033,5.92
Seonghyeon Kim,42464094,6900,53.694,4.61
Denny McCarthy,42464051,8200,57.866,14.52
Mac Meissner,42464073,7300,55.741,6.64
Andrew Putnam,42464102,6800,48.010000000000005,3.9
J.J. Spaun,42464047,8600,58.107000000000006,11.94
Alex Smalley,42464063,7600,54.826,6.89
Maverick McNealy,42464043,9000,59.407999999999994,20.44
Stephan Jaeger,42464068,7400,55.94,9.3
Ryo Hisatsune,42464050,8300,59.001,11.52
Will Zalatoris,42464061,7600,56.27199999999999,5.93
Sepp Straka,42464041,9200,60.794999999999995,14.95
Billy Horschel,42464101,6800,52.078,5.07
Hideki Matsuyama,42464040,9300,60.30199999999999,25.36
Keith Mitchell,42464048,8500,58.114999999999995,15.15
Max McGreevy,42464070,7400,54.214999999999996,4.75
Andrew Novak,42464075,7300,56.071,5.34
Michael Thorbjornsen,42464044,8900,61.879999999999995,12.65
Jordan L. Smith,42464059,7700,55.201,6.74
Mackenzie Hughes,42464084,7100,51.464,4.16
Nick Taylor,42464054,8000,56.896,7.94
Jordan Spieth,42464038,9500,58.892,28.06
Lee Hodges,42464093,6900,51.349,3.96
Patrick Rodgers,42464066,7500,54.819,4.61
Marco Penge,42464058,7800,57.806999999999995,8.98
Sudarshan Yellamaraju,42464052,8100,58.852,9.18
Max Homa,42464086,7000,54.899,4.76
Si Woo Kim,42464037,9600,63.83299999999999,19.31
Zecheng Dou,42464083,7100,49.736999999999995,3.13
Russell Henley,42464036,9800,60.785,22.3
Steven Fisk,42464106,6700,49.885,2.61
Joel Dahmen,42474773,6600,50.42999999999999,2.15
Ludvig Aberg,42464034,10100,61.322,23.61
Kristoffer Reitan,42464081,7100,49.836999999999996,3.08
John Keefer,42464053,8000,57.61,7.45
Robert MacIntyre,42464035,9900,62.733,19.89
Eric Cole,42464091,6900,51.241,4.19
Alex Noren,42464046,8700,60.227,10.64
Tommy Fleetwood,42464033,10500,64.316,22.1
John Parry,42464079,7200,50.036,2.89
Michael Kim,42464092,6900,52.531,2.74
Taylor Moore,42474776,6900,52.635,3.16
Thorbjorn Olesen,42464057,7800,58.35999999999999,8.65
Bronson Burgoon,42464115,6600,50.901999999999994,2.28
Brian Harman,42464056,7900,55.614999999999995,5.9
Emiliano Grillo,42464108,6700,50.379000000000005,1.81
William Mouw,42464087,7000,52.728,3.52
Jhonattan Vegas,42464113,6600,49.577,1.98
Austin Eckroat,42464097,6800,50.918000000000006,1.87
Kevin Roy,42464096,6900,48.136,1.74
Matthew McCarty,42464071,7400,52.036,3.84
Doug Ghim,42464088,7000,51.817,2.38
Rico Hoey,42464065,7500,55.113,4.37
Chad Ramey,42464089,7000,50.937999999999995,2.83
Davis Thompson,42464064,7500,56.379999999999995,4.66
Tom Kim,42464078,7200,53.891999999999996,4.23
Kevin Yu,42464104,6700,49.083,1.72
Matt Kuchar,42464099,6800,52.660000000000004,2.3
Seamus Power,42464095,6900,52.187000000000005,2.63
Hao-Tong Li,42464080,7100,52.248999999999995,3.71
Bud Cauley,42464077,7200,53.784,3.87
